SOC (%),Voltage (V),Current (A),Battery Temp (°C),Ambient Temp (°C),Charging Duration (min),Degradation Rate (%),Charging Mode,Efficiency (%),Battery Type,Charging Cycles,EV Model,Optimal Charging Duration Class,User_Requested_Duration (min)
43.70861069626263,3.6463459516412398,33.55351153623154,31.685500197438255,26.43991756567185,59.363552027744205,4.75264690281826,Fast,96.5626467048954,Li-ion,112,Model B,1,71.78140585302502
95.56428757689244,3.89513846102399,32.22809191647998,37.715147026519794,31.108646585999725,67.34356593750215,10.17807839868292,Fast,95.43627856271962,LiFePO4,398,Model A,0,63.88695840822253
75.87945476302646,4.134525464603912,91.5629122468933,24.31243202990239,30.20321859580318,105.45473932021804,3.513332255250403,Slow,94.01703920269524,LiFePO4,175,Model A,1,121.64695277273535
63.8792635777333,3.9357788143263375,32.45915798645555,32.79922147594924,18.077998093875472,54.00043860598922,5.442643204700932,Fast,97.45051048953,LiFePO4,150,Model B,1,92.07618501618985
24.041677639819287,4.102432237502365,34.47547535157679,31.859851470194187,17.984989394829476,106.96496848121711,15.414062000316015,Fast,92.99711457561438,Li-ion,886,Model C,2,101.11113411313372
24.03950683025824,3.9917717963981825,78.34584361761674,36.2682500752093,20.363487354898268,28.81344309766915,5.9105499376423705,Slow,94.1459651264083,Li-ion,248,Model C,0,22.960019173939635
15.227525095137953,3.933759438733672,50.4765858205486,39.00178191183812,22.221494526820745,97.67984372086308,16.85464017694042,Fast,92.37857409895872,LiFePO4,830,Model B,0,137.16016410854786
87.95585311974416,4.082232932412014,79.9039501259663,19.530779944613943,23.16911162816965,104.75476330547365,5.848045477028023,Fast,94.0822165928607,LiFePO4,221,Model A,0,123.94063153429636
64.1003510568888,3.6728022418200483,15.882954180794671,34.78734432736172,28.593944336666905,38.181765283733874,6.2412281477346525,Slow,96.6310759333006,Li-ion,310,Model B,1,26.444905635360072
73.7265320016441,3.835872635330112,53.88140743060459,19.017746462024455,16.13360864331671,63.03465323722004,6.530777328733634,Slow,95.17854723425006,Li-ion,379,Model C,1,76.59865432686915
11.85260448662222,3.6715396076021483,13.025224016495436,31.166742670866736,15.693454084521328,36.54997746636556,9.873994496767864,Normal,95.00504176635806,Li-ion,637,Model C,2,24.964535146054004
97.29188669457947,4.262935944689213,15.638788310981909,28.66104807946099,22.838211258878182,90.66041289942176,14.139772916231744,Fast,94.6992607821047,LiFePO4,784,Model B,0,79.01716906016534
84.91983767203796,4.2149298741642705,91.57937080099698,24.635035003534462,28.94327384275961,73.53477680616567,4.722590831033585,Normal,92.60840102363753,LiFePO4,255,Model A,0,79.58383359531652
29.11051996104485,3.461987808286384,22.532083400583566,26.042552613259854,18.86870685912965,83.5323346708321,4.963449150678889,Normal,97.0329897390156,Li-ion,337,Model B,2,35.700328554387156
26.36424704863905,4.025006120276284,57.91786140476954,33.196710755480574,27.83008962512504,39.64869669562111,7.771413598281444,Slow,93.3611250281789,LiFePO4,475,Model A,1,5.0
26.506405886809045,4.214120488167737,46.99860423406359,26.950371986284782,20.19656275880599,41.17458620524195,4.367606553019896,Fast,96.1461143965655,LiFePO4,181,Model A,0,27.11739797421763
37.3818018663584,3.645743167623593,41.26089936329584,35.17992616071595,32.721722176270326,24.149732550990635,11.932446098138383,Fast,94.80766403364244,LiFePO4,591,Model B,1,5.0
57.22807884690141,3.9521106826461394,90.98500111185452,28.824328406698886,32.91379888533233,52.20675351957297,7.460130254988068,Slow,92.91769286143445,LiFePO4,455,Model B,2,60.06293683445482
48.87505167779042,4.241455330596668,11.964105709794056,22.319146209041822,20.94574408562653,75.97446613336749,5.887145701673663,Normal,97.20196836860748,LiFePO4,372,Model A,2,53.27386424533721
36.21062261782377,3.5749476623154095,69.74107175580302,37.33974661261648,19.59987507926481,105.79349139973289,11.967204540815825,Slow,92.40586343900888,LiFePO4,679,Model A,1,70.4858988663506
65.06676052501416,4.0006596168548745,96.70549907921954,26.32989447724689,23.226079441324625,86.69274474586807,4.588797359034452,Fast,93.68830730202129,LiFePO4,143,Model A,1,123.33396396890691
22.554447458683764,3.760398728865023,60.41513651156578,28.293451110057436,19.81063170360297,63.53963233997514,10.260389214489532,Slow,93.406093176391,Li-ion,672,Model A,2,57.89522482781175
36.29301836816963,4.154321728418416,94.31402158297828,34.71773821624213,28.447676865834072,115.31201143941378,6.319099123950692,Fast,93.68647621698156,Li-ion,222,Model C,1,117.00021655661187
